method,split,accuracy,flops_per_sample,flops_reduction,latency_ms,latency_reduction,co2_kg,co2_reduction,avg_exit,notes
budget_first_base_0.80_alpha_0.10,test,0.8549,231780573.9110336,0.5845400000000115,0.05858960805907101,0.9731508903047135,3.835052031442577e-05,0.5845400000000115,1.8825,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.80_alpha_0.20,test,0.8508,221507605.4230955,0.6029540000000153,0.055154170653087004,0.974725204228636,3.665075022568076e-05,0.6029540000000153,1.8099,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.80_alpha_0.30,test,0.8449,212142880.2662316,0.6197400000000151,0.054578910635616915,0.9749888212730919,3.510125849603661e-05,0.6197400000000151,1.7434,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.80_alpha_0.40,test,0.8391,204060184.08651963,0.634228000000015,0.05451897069147033,0.9750162891840208,3.376389187033158e-05,0.634228000000015,1.6853,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.80_alpha_0.50,test,0.8337,196202875.07250354,0.6483120000000151,0.053435408933701835,0.9755128391603684,3.2463817908678486e-05,0.6483120000000151,1.6276,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.85_alpha_0.05,test,0.8661,256375669.42310885,0.5404539999999913,0.056627932695761794,0.9740498421625742,4.2420036124810876e-05,0.5404539999999913,2.0603,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.85_alpha_0.10,test,0.8639,249307215.48902634,0.5531239999999957,0.06086740491891624,0.9721070734952223,4.125048648733926e-05,0.5531239999999957,2.0121,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.85_alpha_0.20,test,0.8597,236197939.20306897,0.5766220000000054,0.061699465223620596,0.9717257758703673,3.908141960641505e-05,0.5766220000000054,1.9205,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.85_alpha_0.30,test,0.8548,226257472.5734331,0.5944400000000123,0.058846598756057945,0.9730331224676747,3.7436665428003835e-05,0.5944400000000123,1.851,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.85_alpha_0.40,test,0.85,216688560.033785,0.6115920000000126,0.05916379937032755,0.9728877630025738,3.5853388760134345e-05,0.6115920000000126,1.7833,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.85_alpha_0.50,test,0.8447,207954249.47404093,0.6272480000000127,0.05639394472690978,0.9741570688338425,3.440820571954639e-05,0.6272480000000127,1.7199,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.90_alpha_0.05,test,0.8708,277530821.21319604,0.5025339999999785,0.059480561586964666,0.9727426044363442,4.592037726553094e-05,0.5025339999999785,2.2145,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.90_alpha_0.10,test,0.8705,269226085.2019299,0.5174199999999822,0.06196738554694738,0.971602999453373,4.45462718272199e-05,0.5174199999999822,2.1584,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.90_alpha_0.20,test,0.8675,254149692.2173493,0.5444439999999905,0.05639518016272111,0.9741565026864877,4.205172491301063e-05,0.5444439999999905,2.0543,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.90_alpha_0.30,test,0.8652,241596073.39929733,0.5669459999999976,0.05843331463001173,0.973222512893778,3.997459737217515e-05,0.5669459999999976,1.9678,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.90_alpha_0.40,test,0.8589,230322252.0022998,0.5871540000000075,0.057860060936667505,0.9734852105257593,3.810922570098101e-05,0.5871540000000075,1.8874,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
budget_first_base_0.90_alpha_0.50,test,0.8553,220869380.3796426,0.6040980000000097,0.054412954589568956,0.9750648718259552,3.6545149216583645e-05,0.6040980000000097,1.8202,Dynamic-threshold ablation; latency measured directly unless skip-latency was used; CO2 is FLOPs-scaled.
learned_controller_best_reward_lambda_0.05,test,0.7097,138333046.61298722,0.7520420000000085,0.049741888880193506,0.9772054213155247,2.28886494876145e-05,0.7520420000000085,1.1385,Supervised best_reward label sweep; reward_lambda changes target exits; CO2 is FLOPs-scaled.
learned_controller_best_reward_lambda_0.10,test,0.7168,140687338.29426634,0.7478220000000102,0.049995145328132165,0.977089364724996,2.327819167152347e-05,0.7478220000000102,1.1596,Supervised best_reward label sweep; reward_lambda changes target exits; CO2 is FLOPs-scaled.
learned_controller_best_reward_lambda_0.20,test,0.7123,139182153.707515,0.750520000000009,0.04684045276846334,0.9785350253019375,2.302914313783002e-05,0.750520000000009,1.1468,Supervised best_reward label sweep; reward_lambda changes target exits; CO2 is FLOPs-scaled.
learned_controller_best_reward_lambda_0.30,test,0.7252,143219038.6851771,0.7432840000000124,0.05269642524535887,0.9758514837556922,2.369708798208714e-05,0.7432840000000124,1.1813,Supervised best_reward label sweep; reward_lambda changes target exits; CO2 is FLOPs-scaled.
learned_controller_best_reward_lambda_0.50,test,0.6955,133561979.67974156,0.7605940000000044,0.04360889011611248,0.9800159121522588,2.209922655946542e-05,0.7605940000000044,1.097,Supervised best_reward label sweep; reward_lambda changes target exits; CO2 is FLOPs-scaled.
reinforce_controller_lambda_0.05,test,0.8769,281523075.0689481,0.495377999999964,0.08561293063587962,0.9607672581857832,4.658093742383882e-05,0.495377999999964,2.3227,REINFORCE lambda sweep; reward is correct - lambda * FLOPs ratio unless wrong_penalty is set; CO2 is FLOPs-scaled.
reinforce_controller_lambda_0.10,test,0.8752,271854858.28302914,0.5127079999999622,0.08181515338571767,0.9625076169518815,4.498122982972881e-05,0.5127079999999622,2.2551,REINFORCE lambda sweep; reward is correct - lambda * FLOPs ratio unless wrong_penalty is set; CO2 is FLOPs-scaled.
reinforce_controller_lambda_0.20,test,0.8711,247698263.54381967,0.5560079999999791,0.08158779824671471,0.9626118040811199,4.098426855881144e-05,0.5560079999999791,2.0596,REINFORCE lambda sweep; reward is correct - lambda * FLOPs ratio unless wrong_penalty is set; CO2 is FLOPs-scaled.
reinforce_controller_lambda_0.30,test,0.8697,243259698.46887362,0.5639639999999828,0.0659016761646354,0.9698000824538099,4.024986154099572e-05,0.5639639999999828,2.023,REINFORCE lambda sweep; reward is correct - lambda * FLOPs ratio unless wrong_penalty is set; CO2 is FLOPs-scaled.
reinforce_controller_lambda_0.50,test,0.8398,199447557.6360923,0.6424960000000066,0.08093677599342078,0.9629101397155747,3.300068457730852e-05,0.6424960000000066,1.6679,REINFORCE lambda sweep; reward is correct - lambda * FLOPs ratio unless wrong_penalty is set; CO2 is FLOPs-scaled.
